12	*Спробуєте раз — і вже не відмовитеся, навіть якщо дуже захочеться!
13	*Покуштуйте мого фірмового зілля!
18	*Ми йдемо, генерале, як хімічний викид
19	*Лікаря з виїздом додому вдень з вогнем не знайдеш, а доктор Тракс виїжджає!
20	*Прибиральницю до першого відділу, терміново!
25	*Без звуку… зате з ароматом…
27	*Ця невідомість… просто вбиває, правда?
30	*Одразу видно, що готово: м'ясо саме відстає від кісток!
31	*Сибірка. МОЗ попереджає: шкодить вашому здоров'ю
34	*Смакує до останньої краплі!
35	*Дам вам перевести подих перед наступною атакою
37	*Прийдете по токсин, а залишитеся… назавжди!
42	*Ваші війська, схоже, перебрали, генерале!
43	*О, генерале, схоже, ваші війська зовсім не вміють пити… токсин
95	*Здавайтеся зараз — легке дихання гарантовано!
97	*У мене відкрилося друге дихання — вам кінець, генерале!
98	*Дозвольте залити ваше горе чарочкою доброго токсину!
99	*Токсичне фаталіті
110	*Мабуть, не варто було здобувати диплом заочно, за листуванням
118	*Перша доза безкоштовно!
119	*Вам зелененького чи синенького? Обидва однаково бадьорять!
