1	*Пора запустить военную машину
12	*Попробуете раз — и уже не откажетесь, даже если очень захочется!
13	*Отведайте моего фирменного лекарства!
19	*Врача с выездом на дом днём с огнём не сыщешь, а доктор Тракс выезжает!
20	*Внимание, разлив в первом отделе!
25	*Тихо… но ядрёно
27	*Неизвестность… прямо убивает, правда?
30	*Сразу видно, что готово: мясо само отходит от костей!
31	*Сибирская язва. Минздрав предупреждает: вредит вашему здоровью
34	*Вкусно до последней капли!
37	*Придёте за токсином, а останетесь… навсегда!
42	*Ваши войска, похоже, перебрали, генерал!
43	*Ох, генерал, похоже, ваши войска совсем не умеют пить… токсин
95	*Сдайтесь сейчас — лёгкое дыхание гарантировано!
98	*Позвольте залить ваше горе стаканчиком хорошего токсина!
99	*Токсичный фаталити
110	*Пожалуй, не стоило получать диплом в заочном институте по переписке
118	*Первая доза бесплатно!
119	*Вам зелёненький или синенький? Оба бодрят одинаково!
138	*Это моё супероружие выстрелило? Ах нет, это просто мои обычные атаки
152	*Итак, ваша стратегия — довести меня до смерти от скуки?
163	*Раньше у вас на базе было слишком захламлено
197	*И это предел безопасности вашей базы? Серьёзно?
